,index,n,r,CI95%,r2,adj_r2,p-val,BF10,power,X,Y,X_covars,Y_covars
46,pearson,11718,0.043,[0.02 0.06],0.002,0.002,3.492916364100279e-06,545.84,0.996,generationtime_m,length_birth_m,['phi_m'],None
47,pearson,11718,-0.032,[-0.05 -0.01],0.001,0.001,0.0005726535357786466,4.358,0.931,generationtime_m,length_birth_m,['phi_m'],['growth_length_m']
48,pearson,11718,0.047,[0.03 0.06],0.002,0.002,4.676068705099603e-07,3775.223,0.999,generationtime_m,length_birth_m,['phi_m'],['division_ratios__f_n_m']
49,pearson,11718,0.049,[0.03 0.07],0.002,0.002,1.1171948742124864e-07,1.505e+04,1.0,generationtime_m,length_birth_m,['phi_m'],['phi_m']
50,pearson,11718,-0.027,[-0.05 -0.01],0.001,0.001,0.003242601294330707,0.881,0.837,generationtime_m,length_birth_m,['phi_m'],"['growth_length_m', 'division_ratios__f_n_m']"
51,pearson,11718,0.03,[0.01 0.05],0.001,0.001,0.0012515287510984998,2.111,0.897,generationtime_m,length_birth_m,['phi_m'],"['growth_length_m', 'phi_m']"
52,pearson,11718,0.051,[0.03 0.07],0.003,0.002,4.442739384078749e-08,3.677e+04,1.0,generationtime_m,length_birth_m,['phi_m'],"['division_ratios__f_n_m', 'phi_m']"
53,pearson,11718,0.031,[0.01 0.05],0.001,0.001,0.0007463394668996596,3.406,0.921,generationtime_m,length_birth_m,['phi_m'],"['growth_length_m', 'division_ratios__f_n_m', 'phi_m']"
54,pearson,11718,0.029,[0.01 0.05],0.001,0.001,0.0017510135881235339,1.549,0.879,generationtime_m,length_birth_m,"['growth_length_m', 'division_ratios__f_n_m']","['growth_length_m', 'phi_m']"
55,pearson,11718,0.026,[0.01 0.04],0.001,0.0,0.005451477221215887,0.55,0.794,generationtime_m,length_birth_m,"['growth_length_m', 'division_ratios__f_n_m']","['division_ratios__f_n_m', 'phi_m']"
56,pearson,11718,0.023,[0.   0.04],0.001,0.0,0.013051871117374879,0.252,0.699,generationtime_m,length_birth_m,"['growth_length_m', 'division_ratios__f_n_m']","['growth_length_m', 'division_ratios__f_n_m', 'phi_m']"
57,pearson,11718,-0.422,[-0.44 -0.41],0.178,0.178,0.0,inf,1.0,generationtime_m,length_birth_m,"['growth_length_m', 'division_ratios__f_n_m']",None
58,pearson,11718,-0.424,[-0.44 -0.41],0.18,0.179,0.0,inf,1.0,generationtime_m,length_birth_m,"['growth_length_m', 'division_ratios__f_n_m']",['growth_length_m']
59,pearson,11718,-0.425,[-0.44 -0.41],0.18,0.18,0.0,inf,1.0,generationtime_m,length_birth_m,"['growth_length_m', 'division_ratios__f_n_m']",['division_ratios__f_n_m']
60,pearson,11718,0.032,[0.01 0.05],0.001,0.001,0.0006217444950688679,4.037,0.928,generationtime_m,length_birth_m,"['growth_length_m', 'division_ratios__f_n_m']",['phi_m']
61,pearson,11718,-0.426,[-0.44 -0.41],0.182,0.181,0.0,inf,1.0,generationtime_m,length_birth_m,"['growth_length_m', 'division_ratios__f_n_m']","['growth_length_m', 'division_ratios__f_n_m']"
62,pearson,11718,0.029,[0.01 0.05],0.001,0.001,0.0017510135881235339,1.549,0.879,generationtime_m,length_birth_m,"['growth_length_m', 'division_ratios__f_n_m']","['growth_length_m', 'phi_m']"
63,pearson,11718,0.026,[0.01 0.04],0.001,0.0,0.005451477221215887,0.55,0.794,generationtime_m,length_birth_m,"['growth_length_m', 'division_ratios__f_n_m']","['division_ratios__f_n_m', 'phi_m']"
64,pearson,11718,0.023,[0.   0.04],0.001,0.0,0.013051871117374879,0.252,0.699,generationtime_m,length_birth_m,"['growth_length_m', 'division_ratios__f_n_m']","['growth_length_m', 'division_ratios__f_n_m', 'phi_m']"
65,pearson,11718,0.07,[0.05 0.09],0.005,0.005,3.513923533678818e-14,3.399e+10,1.0,generationtime_m,length_birth_m,"['growth_length_m', 'phi_m']","['division_ratios__f_n_m', 'phi_m']"
66,pearson,11718,0.07,[0.05 0.09],0.005,0.005,3.4492210242750966e-14,3.462e+10,1.0,generationtime_m,length_birth_m,"['growth_length_m', 'phi_m']","['growth_length_m', 'division_ratios__f_n_m', 'phi_m']"
67,pearson,11718,0.059,[0.04 0.08],0.003,0.003,2.3065658490794557e-10,6.155e+06,1.0,generationtime_m,length_birth_m,"['growth_length_m', 'phi_m']",None
68,pearson,11718,0.059,[0.04 0.08],0.003,0.003,1.99223867006939e-10,7.102e+06,1.0,generationtime_m,length_birth_m,"['growth_length_m', 'phi_m']",['growth_length_m']
